Name,CMP,PE,Market Cap,Dividend Yield,Net Profit Last Quarter,Quaterly Profit Growth,Sales Latest Quarter,Quaterly Sales Growth,Return on Campital Employment
Bharat Forge,1328.75,62.30,61865.09,0.68,243.30,12.57,3688.51,-2.27,12.90
M M Forgings,439.90,15.04,2123.91,0.91,35.93,-1.88,389.43,1.38,15.14
Sterling Tools,547.80,30.03,1973.41,0.37,17.47,45.22,283.98,35.12,14.69
Alicon Cast.,1206.45,26.83,1961.91,0.62,16.81,15.85,463.75,21.71,14.52
Steelcast,772.50,25.08,1563.54,0.93,13.29,-28.51,75.90,-25.30,39.95
Ambuja Cements,544.50,45.67,134117.07,0.37,472.89,-29.90,7516.11,1.24,14.05
Shree Cement,24091.70,50.20,86924.66,0.44,76.64,-82.88,4054.17,-15.07,14.76
ACC,2188.15,22.20,41090.67,0.34,199.70,-42.45,4613.52,4.03,17.27
Dalmia BharatLtd,1713.80,37.94,32141.91,0.53,49.00,-61.33,3087.00,-2.09,6.71
J K Cements,3999.30,42.61,30901.89,0.38,136.15,-75.62,2560.12,-7.00,15.80
The Ramco Cement,902.35,78.27,21321.84,0.28,25.77,-64.31,2044.13,-12.67,8.10
Nuvoco Vistas,335.05,243.97,11966.52,0.00,-85.17,-5666.67,2268.58,-11.83,5.42
India Cements,355.30,,11010.65,0.00,-338.72,-59.03,1031.80,-18.40,-0.78
Prism Johnson,184.30,,9276.92,0.00,-103.67,-702.93,1685.38,-8.29,3.45
Birla Corpn.,1085.30,27.41,8357.90,0.92,-25.19,-143.02,1952.56,-14.58,9.01
UltraTech Cem.,10728.50,47.11,309729.27,0.65,825.18,-35.95,15634.73,-2.36,15.12
JK Lakshmi Cem.,697.30,23.54,8205.13,0.93,-19.24,-115.10,1234.29,-21.61,17.04
Star Cement,182.54,37.29,7377.91,0.00,5.67,-86.06,641.55,9.62,16.48
Orient Cement,334.30,44.99,6848.76,0.67,2.32,-90.58,544.03,-24.50,16.13
Kesoram Inds.,205.63,,6388.60,0.00,-69.92,11.10,58.71,-1.99,11.00
Kajaria Ceramics,1154.65,48.30,18390.37,1.04,85.54,-21.94,1179.27,5.14,21.15
Pidilite Inds.,3021.70,78.33,153687.74,0.53,540.30,18.75,3234.91,5.16,29.74
SRF,2235.20,58.67,66256.88,0.32,201.42,-33.03,3424.30,7.77,12.71
Linde India,6816.95,132.91,58134.95,0.06,104.39,-2.17,634.42,-10.81,17.36
Gujarat Fluoroch,4103.90,109.93,45081.34,0.07,121.00,128.30,1188.00,25.45,9.76
Deepak Nitrite,2638.50,45.29,35987.30,0.28,194.20,-5.31,2032.00,14.28,21.65
Godrej Industrie,931.95,45.41,31383.61,0.00,488.86,229.46,4804.96,22.03,5.59
BASF India,6458.90,43.69,27960.58,0.23,127.94,-14.19,4247.72,14.60,24.99
Tata Chemicals,1058.55,43.98,26967.62,1.42,267.00,-45.66,3999.00,0.03,7.81
Himadri Special,497.75,50.99,24572.98,0.10,135.70,34.53,1136.92,13.18,19.11
Ramco Inds.,283.25,19.44,2458.87,0.26,16.88,506.75,353.17,11.83,3.15
Atul,7303.20,56.88,21501.90,0.27,139.53,51.47,1392.83,16.68,8.74
Vinati Organics,1834.95,50.91,19022.13,0.38,106.11,46.38,553.27,19.51,18.54
Castrol India,190.41,20.98,18833.88,3.94,207.43,6.69,1288.18,8.90,56.72
Navin Fluo.Intl.,3309.90,75.80,16415.50,0.36,58.82,-2.91,518.56,9.91,10.43
Deepak Fertiliz.,1282.45,23.88,16189.37,0.66,214.07,249.39,2746.72,13.31,10.72
Aarti Industries,438.25,35.86,15887.41,0.23,52.00,-45.05,1628.00,11.97,7.47
Worth Investment,14.95,255.40,554.22,0.00,0.59,11.32,1.31,32.32,7.75
Shalibhadra Fin.,716.45,41.54,553.25,0.17,3.45,14.62,8.23,6.74,15.94
Shriram AMC,415.95,,541.44,0.00,-3.63,-61.33,1.92,7.26,-7.25
Naga Dhunseri,5413.10,12.84,541.31,0.05,17.33,91.92,8.89,78.16,4.71
U. Y. Fincorp,27.75,29.38,527.91,0.00,3.47,-93.22,45.24,55.46,29.48
Niyogin Fintech,54.05,,514.32,0.00,-4.25,38.02,72.52,53.87,-6.80
Nahar Capital,307.10,12.16,514.09,0.49,14.32,16.99,14.54,20.17,5.34
Leading Lea. Fin,11.31,789.13,497.15,0.00,-0.23,-142.59,6.41,574.74,4.81
Aryaman Fin.Serv,415.10,32.18,484.92,0.00,6.89,-51.02,24.86,-21.45,25.80
SRG Housing,332.20,19.89,474.77,0.00,6.60,25.48,36.06,19.32,13.52
Muthoot Cap.Serv,348.10,11.81,572.54,0.00,15.97,-52.51,108.65,10.71,12.29
Quest Capital,461.10,22.51,461.10,0.54,1.06,16.48,1.54,10.79,3.14
Bombay Oxygen,30594.00,6.42,458.91,0.08,18.45,55.56,23.97,70.36,17.66
Alacrity Sec.,180.70,33.20,436.57,0.00,9.27,42.00,325.61,160.63,49.03
Mangalam Industr,3.56,515.27,386.45,0.00,0.41,169.49,0.91,40.00,0.91
Emerald Finance,96.67,50.60,308.14,0.10,2.06,116.84,5.00,54.32,12.58
Apollo Finvest,814.60,37.86,304.00,0.00,2.41,22.96,7.08,83.90,16.05
