Name,CMP,PE,Market Cap,Dividend Yield,Net Profit Last Quarter,Quaterly Profit Growth,Sales Latest Quarter,Quaterly Sales Growth,Return on Campital Employment
Garware Tech.,3952.05,34.8,7846.07,0.08,65.89,25.77,420.59,28.11,23.07
Ganesha Ecosphe.,2338.5,70.57,5927.39,0.13,27.11,868.21,386.81,38.92,8.03
Go Fashion (I),1090.8,68.72,5891.3,0.0,20.63,2.94,208.53,10.42,15.66
Indo Count Inds.,340.15,21.78,6736.82,0.65,81.54,-28.59,1035.85,2.67,18.3
Jindal Worldwide,280.6,66.51,5626.6,0.07,17.34,35.89,570.81,45.68,9.83
Lux Industries,1851.3,34.97,5567.17,0.11,51.6,42.56,677.45,5.97,10.98
Bombay Dyeing,206.07,67.2921923474664,4256.06,0.58,392.88,75.93,380.63,-13.61,0.97
LS Industries,49.43,67.2921923474664,4195.71,0.0,-0.5,-177.78,0.01,-90.91,-4.67
Adani Enterp.,2826.8,57.8,326263.81,0.05,1989.19,577.6,22608.07,15.66,9.87
Aegis Logistics,805.05,48.4,28257.26,0.81,152.02,-0.8,1750.42,41.75,14.74
Cello World,806.8,52.75,17821.0,0.19,86.78,2.06,490.06,0.22,36.28
Redington,193.37,12.98,15117.17,3.21,282.88,-6.78,24895.56,12.04,19.46
Honasa Consumer,371.55,159.87,12068.84,0.0,-14.92,-139.53,417.48,-9.28,17.1
MMTC,75.35,53.36,11302.5,0.0,48.05,-58.86,1.56,100.74,9.23
Arvind Fashions.,555.0,86.26,7393.76,0.23,45.03,24.03,1273.18,8.49,13.98
PDS,504.25,46.72,7106.2,0.94,93.17,10.46,3306.29,34.25,17.47
Refex Industries,493.15,53.88,5952.85,0.02,31.06,44.18,527.65,49.81,26.39
Lloyds Enterpris,44.05,51.42,5603.72,0.23,40.46,-23.39,385.49,158.16,6.77
ITC,465.95,28.37,582889.11,2.95,5054.43,1.95,20735.87,16.66,37.47
Optiemus Infra.,631.35,79.9,5420.59,0.0,13.73,154.26,476.58,73.72,15.44
PTC India,166.57,10.14,4930.64,4.68,233.82,11.81,5127.99,1.15,9.64
SG Mart,386.75,71.13,4333.73,0.0,15.95,78.21,1815.53,258.63,14.042809917355372
D.P. Abhushan,1643.85,44.72,3716.9,0.0,25.13,88.52,1004.72,83.93,27.12
Fischer Medical,625.55,1818.85,3346.69,0.0,0.29,88.78577903682718,39.66,54.603034351145034,5.3
Schaeffler India,3424.0,56.39,53518.38,0.76,247.13,5.16,2072.83,12.15,26.72
Timken India,3237.55,61.62,24352.44,0.08,89.95,-3.33,752.89,10.4,23.36
Life Insurance,908.65,13.86,574720.92,1.1,7722.74,-3.83,231132.12,13.84,72.95
LMW,15231.8,81.27,16272.13,0.49,24.46,-78.75,768.99,-41.76,18.08
Tega Inds.,1930.25,75.96,12843.01,0.1,7.22,-84.76,353.3,-6.4,19.2
Azad Engineering,1579.05,133.84,9334.24,0.0,20.88,7.46,111.54,34.65,19.89
The Anup Enginee,3534.35,59.23,7069.57,0.42,32.31,48.76,187.87,34.34,22.58
Skipper,531.15,50.87,5453.33,0.02,33.94,78.82,1109.74,43.68,20.33
Rajoo Engineers,357.25,179.07,4394.5,0.07,7.24,36.86,56.81,6.13,23.7
KRN Heat Exchan,652.2,101.73,4053.85,0.0,12.1,40.53,98.94,38.98,42.09
Balkrishna Inds,2738.7,32.5,52943.78,0.58,346.94,-0.14,2419.74,7.39,17.62
KP Green Engg.,564.55,54.61,2822.75,0.04,27.48,88.78577903682718,262.36,152.44,29.85
HMT,69.76,67.2921923474664,2480.68,0.0,-27.09,6.13,41.59,14.83,14.042809917355372
Thejo Engg.,2003.25,42.32,2172.31,0.15,12.29,-9.36,133.44,-0.44,28.31
Uniparts India,414.95,18.61,1872.83,3.37,21.15,-35.91,241.41,-17.8,18.14
Macpower CNC,1330.55,46.95,1331.1,0.11,8.3,34.74,71.1,12.68,29.74
Emkay Taps & Cut,1244.95,13.83,1328.52,0.0,55.0,88.78577903682718,54.76,11.96,19.31
Axtel Industries,478.05,31.02,772.28,1.26,5.9,-50.5,55.84,-19.62,40.73
Affordable Robo.,662.0,800.54,744.5,0.0,-12.29,88.78577903682718,43.72,2.13,9.92
Veranda Learning,258.3,67.2921923474664,1843.81,0.0,-30.37,-1866.67,138.62,40.92,-0.33
Vantage Knowledg,145.2,806.21,1652.74,0.0,0.86,207.14,1.17,67.14,20.51
Lucent Industrie,570.4,67.2921923474664,855.6,0.0,-0.13,-1200.0,0.0,54.603034351145034,-0.64
Career Point,467.6,13.71,850.7,0.64,12.94,12.15,26.41,29.21,13.36
Addictive Learn,381.0,92.83,606.16,0.0,2.79,88.78577903682718,32.98,100.73,40.13
CL Educate,109.66,55.92,593.24,0.0,3.38,-38.32,98.68,10.83,7.62
Drone Destinatio,200.3,63.13,486.73,0.0,1.02,88.78577903682718,13.83,152.37,23.28
Global Education,175.26,12.13,356.84,2.85,10.46,-2.61,23.39,2.36,54.6
Droneacharya Aer,112.25,48.34,269.27,0.0,1.61,88.78577903682718,26.9,28.77,11.8
VJTF Eduservices,99.18,17.66,174.56,0.0,10.43,88.78577903682718,1.27,54.603034351145034,66.33
Shanti Educat.,157.65,517.99,2538.17,0.0,2.7,92.86,6.29,116.15,7.43
Golden Crest,332.25,871.35,174.27,0.0,0.1,88.78577903682718,0.11,450.0,0.85
LCC Infotech,11.49,67.2921923474664,145.46,0.0,-1.09,-333.33,0.01,-98.08,-1.61
Arihant Academy,210.0,25.95,127.16,0.48,2.45,-34.05,14.75,-5.33,8.96
Winsome Brew.,43.63,119.52,120.72,0.0,0.4,-25.93,0.63,12.5,0.0
Navneet Educat.,135.84,15.61,3072.88,1.91,-4.86,70.8,271.79,2.26,16.24
Flair Writing,261.1,24.68,2751.87,0.0,31.97,-4.14,241.89,-0.99,22.67
Kokuyo Camlin,154.66,71.82,1551.3,0.32,-10.63,-212.13,172.51,-11.46,17.01
Linc,625.45,25.72,930.19,0.8,8.78,13.88,134.64,2.61,23.71
Repro India,528.25,270.7,755.25,0.0,-4.45,-328.21,104.66,-10.45,6.06
S Chand & Compan,196.31,17.46,691.35,1.53,-52.76,-28.17,37.45,-1.5,6.3
Honeywell Auto,42104.85,70.53,37220.69,0.24,115.1,-5.58,1023.9,-7.27,19.85
Syrma SGS Tech.,547.65,91.75,9725.45,0.27,39.65,24.01,832.74,17.0,9.84
Cyient DLM,629.95,74.12,4995.89,0.0,15.55,6.14,389.43,33.44,14.08
